"chr"	"marker"	"cm"	"mb"	"sp"
"6"	"TUN10_182"	46.85	25.056614	"olat"
"24"	"TUN10_183"	3.3	3.557909	"olat"
"20"	"TUN10_185"	60.61	24.576971	"olat"
"2"	"TUN10_186"	63.5	27.134673	"olat"
"2"	"TUN10_190"	29.21	12.293404	"olat"
"18"	"TUN10_191"	48.4	20.678912	"olat"
"22"	"TUN10_194"	52.02	28.871246	"olat"
"14"	"TUN10_199"	41.8	25.186958	"olat"
"4"	"TUN10_200"	41	20.325231	"olat"
"1"	"TUN10_204"	56.2	25.153588	"olat"
"20"	"TUN10_205"	60.61	24.799505	"olat"
"12"	"TUN10_206"	46.5	20.642436	"olat"
"15"	"TUN10_208"	26.4	14.126071	"olat"
"4"	"TUN10_212"	41.01	20.497223	"olat"
"23"	"TUN10_213"	10	4.713756	"olat"
"21"	"TUN10_214"	15.5	5.349125	"olat"
"5"	"TUN10_217"	6.8	3.968418	"olat"
"2"	"TUN10_218"	29.2	12.07423	"olat"
"18"	"TUN10_222"	3.3	23.49786	"olat"
"18"	"TUN10_222"	3.3	1.908791	"olat"
"11"	"TUN10_225"	45.7	26.351752	"olat"
"13"	"TUN10_228"	67.2	33.361108	"olat"
"4"	"TUN10_231"	0.01	1.72486	"olat"
"2"	"TUN10_233"	30.3	14.6393	"olat"
"24"	"TUN10_236"	49.6	21.762786	"olat"
"1"	"TUN10_238"	68.3	30.527562	"olat"
"14"	"TUN10_241"	42.9	25.380054	"olat"
"4"	"TUN10_243"	23.4	11.180304	"olat"
"17"	"TUN10_247"	28.6	11.978073	"olat"
"18"	"TUN10_248"	58.5	27.436764	"olat"
"15"	"TUN10_250"	13.2	5.050983	"olat"
"18"	"TUN10_256"	61.8	28.068306	"olat"
"6"	"TUN10_257"	46.85	26.119752	"olat"
"21"	"TUN10_259"	61.8	29.538077	"olat"
"10"	"TUN10_260"	5.59	10.894383	"olat"
"12"	"TUN10_262"	65.2	30.400018	"olat"
"20"	"TUN10_266"	60.61	24.422449	"olat"
"5"	"TUN10_268"	73.59	34.458508	"olat"
"24"	"TUN10_269"	0	0.079194	"olat"
"22"	"TUN10_270"	0.01	0.020296	"olat"
"9"	"TUN10_272"	0.02	1.363255	"olat"
"7"	"TUN11_001"	48.51	26.960469	"olat"
"7"	"TUN11_002"	48.52	28.026952	"olat"
"1"	"TUN11_003"	46.3	19.613061	"olat"
"4"	"TUN11_004"	68.6	33.617237	"olat"
"7"	"TUN11_005"	45.1	23.094736	"olat"
"2"	"TUN11_006"	43.6	18.848248	"olat"
"11"	"TUN11_007"	30.03	6.634082	"olat"
"21"	"TUN11_010"	25.4	14.394129	"olat"
"6"	"TUN11_011"	3.31	3.783119	"olat"
"10"	"TUN11_012"	31	19.512536	"olat"
"13"	"TUN11_016"	61.7	30.236948	"olat"
"1"	"TUN11_017"	46.3	19.371897	"olat"
"1"	"TUN11_019"	68.3	30.742911	"olat"
"21"	"TUN11_020"	25.4	12.461874	"olat"
"8"	"TUN11_021"	6.6	4.418863	"olat"
"2"	"TUN11_023"	11.9	3.398801	"olat"
"5"	"TUN11_024"	71.3	31.782979	"olat"
"1"	"TUN11_027"	56.2	25.506372	"olat"
"9"	"TUN11_029"	44.1	21.778709	"olat"
"18"	"TUN11_030"	14.3	7.45346	"olat"
"3"	"TUN11_032"	2.2	1.542604	"olat"
"18"	"TUN11_034"	0	0.096344	"olat"
"19"	"TUN11_037"	56.2	24.119265	"olat"
"17"	"TUN11_039"	25.3	9.583571	"olat"
"21"	"TUN11_040"	1.12	0.838978	"olat"
"7"	"TUN11_041"	48.55	34.258519	"olat"
"24"	"TUN11_042"	45.1	18.467888	"olat"
"18"	"TUN11_043"	38.5	16.793187	"olat"
"23"	"TUN11_061"	44.2	21.576046	"olat"
"12"	"TUN11_062"	60.9	27.623571	"olat"
"10"	"TUN11_068"	31	20.506263	"olat"
"21"	"TUN11_072"	30.9	19.356273	"olat"
"9"	"TUN11_077"	0	1.04615	"olat"
"19"	"TUN11_078"	43	15.883056	"olat"
"5"	"TUN11_079"	15.6	12.382657	"olat"
"12"	"TUN11_080"	31.9	15.02129	"olat"
"2"	"TUN11_085"	29.2	11.816016	"olat"
"8"	"TUN11_086"	30.9	12.781299	"olat"
"21"	"TUN11_092"	1.12	1.241816	"olat"
"15"	"TUN11_093"	13.2	5.33157	"olat"
"3"	"TUN11_098"	74.6	34.652698	"olat"
"1"	"TUN11_100"	43	15.98838	"olat"
"1"	"TUN11_102"	43	16.597991	"olat"
"1"	"TUN11_103"	73.8	31.867593	"olat"
"3"	"TUN11_105"	1.1	1.139883	"olat"
"13"	"TUN11_107"	62.8	30.428705	"olat"
"12"	"TUN11_108"	11	8.876598	"olat"
"8"	"TUN11_109"	13.2	7.660366	"olat"
"22"	"TUN11_111"	52	27.977001	"olat"
"12"	"TUN11_112"	59.8	27.115619	"olat"
"14"	"TUN11_115"	5.5	5.877966	"olat"
"4"	"TUN11_116"	49.9	24.79613	"olat"
"2"	"TUN11_118"	55.8	21.597271	"olat"
"11"	"TUN11_119"	30	6.363362	"olat"
"11"	"TUN11_121"	30.04	9.113156	"olat"
"10"	"TUN11_122"	1.1	4.705728	"olat"
"1"	"TUN11_123"	59.5	28.245597	"olat"
"3"	"TUN11_124"	74.6	34.474871	"olat"
"15"	"TUN11_125"	7.7	3.421459	"olat"
"11"	"TUN11_126"	30.05	13.037319	"olat"
"10"	"TUN11_128"	31	19.265679	"olat"
"9"	"TUN11_129"	4.4	3.766961	"olat"
"22"	"TUN11_130"	24.3	17.442379	"olat"
"1"	"TUN11_131"	55.1	23.630721	"olat"
"1"	"TUN11_131"	55.1	23.540371	"olat"
"12"	"TUN11_132"	48.7	22.287174	"olat"
"13"	"TUN11_133"	61.7	30.034934	"olat"
"16"	"TUN11_134"	33	20.258343	"olat"
"2"	"TUN11_135"	59.1	22.752492	"olat"
"21"	"TUN11_136"	24.31	12.186468	"olat"
"2"	"TUN11_137"	30.3	12.962463	"olat"
"3"	"TUN11_139"	0	0.166506	"olat"
"16"	"TUN11_140"	7.7	9.937995	"olat"
"13"	"TUN11_141"	1.1	0.029101	"olat"
"3"	"TUN11_142"	1.1	1.066263	"olat"
"7"	"TUN11_143"	1.11	2.736445	"olat"
"19"	"TUN11_144"	0	0.314197	"olat"
"12"	"TUN11_145"	48.7	21.85526	"olat"
"10"	"TUN11_146"	42.09	27.365761	"olat"
"23"	"TUN11_147"	1.12	2.580233	"olat"
"21"	"TUN11_149"	15.5	5.456438	"olat"
"20"	"TUN11_151"	59.5	22.450043	"olat"
"22"	"TUN11_152"	2.2	4.459182	"olat"
"17"	"TUN11_153"	31.9	15.417354	"olat"
"17"	"TUN11_155"	19.8	7.350362	"olat"
"24"	"TUN11_156"	0	0.223477	"olat"
"13"	"TUN11_157"	35.2	18.780642	"olat"
"9"	"TUN11_158"	9.9	6.636452	"olat"
"12"	"TUN11_159"	19.8	11.542742	"olat"
"5"	"TUN11_160"	71.3	31.988173	"olat"
"14"	"TUN11_161"	41.8	25.131326	"olat"
"5"	"TUN11_162"	49.3	24.978822	"olat"
"22"	"TUN11_164"	39.9	22.389856	"olat"
"8"	"TUN11_165"	7.7	4.704118	"olat"
"7"	"TUN11_166"	48.55	33.259534	"olat"
"18"	"TUN11_167"	37.4	15.130162	"olat"
"11"	"TUN11_169"	1.1	1.056723	"olat"
"9"	"TUN11_171"	3.3	3.041593	"olat"
"7"	"TUN11_172"	39.6	18.819998	"olat"
"10"	"TUN11_174"	32.1	20.581968	"olat"
"14"	"TUN11_176"	29.7	19.840235	"olat"
"14"	"TUN11_177"	12.1	10.439985	"olat"
"9"	"TUN11_178"	8.8	6.467338	"olat"
"21"	"TUN11_180"	58.5	29.118385	"olat"
"14"	"TUN11_181"	29.7	19.785627	"olat"
"15"	"TUN11_182"	0	0.014171	"olat"
"17"	"TUN11_183"	0	1.049251	"olat"
"5"	"TUN11_185"	73.59	34.803	"olat"
"18"	"TUN11_190"	56.3	27.061014	"olat"
"20"	"TUN11_191"	59.5	22.256791	"olat"
"20"	"TUN11_192"	59.5	22.256791	"olat"
"20"	"TUN11_193"	59.5	22.658168	"olat"
"20"	"TUN11_194"	59.5	22.658168	"olat"
"9"	"TUN11_195"	8.8	6.473821	"olat"
"23"	"TUN11_196"	1.12	2.363825	"olat"
"14"	"TUN11_197"	12.1	10.439985	"olat"
"7"	"TUN11_198"	47.3	23.704363	"olat"
"9"	"TUN11_199"	44.1	24.166554	"olat"
"20"	"TUN11_200"	1.1	3.713689	"olat"
"21"	"TUN11_201"	25.4	14.646491	"olat"
"22"	"TUN11_205"	6.6	6.441656	"olat"
"1"	"TUN11_206"	43	17.524627	"olat"
"13"	"TUN11_207"	65	31.496563	"olat"
"14"	"TUN11_208"	1.11	3.675011	"olat"
"3"	"TUN11_209"	69.1	32.113841	"olat"
"17"	"TUN11_210"	46.2	20.569736	"olat"
"12"	"TUN11_211"	59.8	26.893406	"olat"
"3"	"TUN11_212"	63.5	28.7968	"olat"
"22"	"TUN11_213"	41	22.928743	"olat"
"17"	"TUN11_214"	48.4	22.417726	"olat"
"7"	"TUN11_215"	30.8	15.232788	"olat"
"18"	"TUN11_216"	40.7	17.466322	"olat"
"17"	"TUN11_217"	73.8	30.16477	"olat"
"19"	"TUN11_218"	56.2	23.986439	"olat"
"9"	"TUN11_219"	44.1	24.352515	"olat"
"23"	"TUN11_220"	19.9	8.029736	"olat"
"3"	"TUN11_221"	74.6	35.031009	"olat"
"4"	"TUN11_222"	0	5.234155	"olat"
"4"	"TUN11_222"	0	1.353453	"olat"
"3"	"TUN11_223"	47	22.449681	"olat"
"16"	"TUN11_225"	7.7	8.462075	"olat"
"7"	"TUN11_226"	47.3	25.263588	"olat"
"2"	"TUN11_227"	63.5	27.069028	"olat"
"2"	"TUN11_228"	29.21	11.71853	"olat"
"4"	"TUN11_230"	42.1	21.648193	"olat"
"11"	"TUN11_231"	8.8	3.767239	"olat"
"17"	"TUN11_232"	25.3	9.733277	"olat"
"5"	"TUN11_235"	11.2	9.47277	"olat"
"15"	"TUN11_236"	23.1	12.465069	"olat"
"10"	"TUN11_238"	35.4	22.011869	"olat"
"18"	"TUN11_239"	38.5	16.627828	"olat"
"3"	"TUN11_240"	21.5	12.406845	"olat"
"4"	"TUN11_241"	23.4	11.298601	"olat"
"8"	"TUN11_242"	50.8	25.101174	"olat"
"17"	"TUN11_243"	31.9	15.760766	"olat"
"4"	"TUN11_244"	23.4	11.114745	"olat"
"2"	"TUN11_245"	43.6	19.223912	"olat"
"10"	"TUN11_246"	31	19.762086	"olat"
"19"	"TUN11_247"	43	18.070996	"olat"
"7"	"TUN11_248"	48.5	26.913654	"olat"
"12"	"TUN11_249"	46.5	20.45238	"olat"
"9"	"TUN11_250"	14.3	10.920848	"olat"
"5"	"TUN11_253"	14.5	11.041917	"olat"
"4"	"TUN11_255"	42.1	21.462594	"olat"
"21"	"TUN11_256"	25.4	12.608995	"olat"
"13"	"TUN11_258"	57.3	28.870932	"olat"
"2"	"TUN11_259"	25.7	9.102428	"olat"
"21"	"TUN11_260"	1.12	0.774414	"olat"
"18"	"TUN11_265"	67.39	23.362471	"olat"
"23"	"TUN11_268"	44.2	21.51648	"olat"
"10"	"TUN11_272"	31	20.506645	"olat"
"21"	"TUN11_275"	30.9	19.33711	"olat"
"2"	"TUN11_277"	25.7	9.650654	"olat"
"8"	"TUN11_282"	42	21.282313	"olat"
"21"	"TUN11_284"	1.12	1.241816	"olat"
"1"	"TUN11_286"	43	15.98838	"olat"
"13"	"TUN11_289"	62.8	30.428705	"olat"
"8"	"TUN11_291"	13.2	7.660366	"olat"
"18"	"TUN11_292"	48.4	20.635788	"olat"
"4"	"TUN11_293"	49.9	24.79613	"olat"
"11"	"TUN11_295"	30	6.363362	"olat"
"11"	"TUN11_296"	30.04	9.113156	"olat"
"15"	"TUN11_297"	7.7	3.421459	"olat"
"10"	"TUN11_298"	31	19.265679	"olat"
"20"	"TUN11_299"	1.1	4.262332	"olat"
"20"	"TUN11_300"	59.5	22.52468	"olat"
"23"	"TUN11_301"	1.12	2.580233	"olat"
"21"	"TUN11_302"	15.5	5.456438	"olat"
"22"	"TUN11_304"	2.2	4.459182	"olat"
"23"	"TUN11_307"	0	0.157906	"olat"
"14"	"TUN11_309"	29.7	19.840235	"olat"
"14"	"TUN11_310"	12.1	10.439985	"olat"
"19"	"TUN3_0003"	1.1	1.280012	"olat"
"16"	"TUN3_0004"	0.01	1.667244	"olat"
"1"	"TUN3_0005"	2.2	3.170607	"olat"
"3"	"TUN3_0006"	49.2	23.165414	"olat"
"15"	"TUN3_0007"	22.01	11.565337	"olat"
"3"	"TUN3_0008"	21.5	12.429189	"olat"
"21"	"TUN3_0010"	28.7	19.027417	"olat"
"21"	"TUN3_0010"	28.7	19.03139	"olat"
"21"	"TUN3_0010"	28.7	19.018971	"olat"
"14"	"TUN3_0012"	6.6	6.368425	"olat"
"7"	"TUN3_0013"	48.5	26.399523	"olat"
"7"	"TUN3_0013"	48.5	26.392006	"olat"
"7"	"TUN3_0013"	48.5	26.407662	"olat"
"7"	"TUN3_0013"	48.5	26.412477	"olat"
"14"	"TUN3_0014"	16.5	13.560281	"olat"
"17"	"TUN3_0016"	61.7	25.548831	"olat"
"11"	"TUN3_0017"	30.07	16.664987	"olat"
"3"	"TUN3_0019"	20.4	11.225807	"olat"
"24"	"TUN3_0020"	19.8	9.469437	"olat"
"17"	"TUN3_0022"	57.2	24.982983	"olat"
"24"	"TUN3_0023"	40.7	17.485833	"olat"
"10"	"TUN3_0024"	5.58	10.745731	"olat"
"9"	"TUN3_0025"	3.3	2.257857	"olat"
"15"	"TUN3_0026"	15.4	5.745245	"olat"
"8"	"TUN3_0027"	40.9	18.862659	"olat"
"13"	"TUN3_0032"	67.2	32.773696	"olat"
"24"	"TUN3_0033"	29.7	12.70541	"olat"
"8"	"TUN3_0035"	42	20.746789	"olat"
"7"	"TUN3_0036"	24.2	12.816157	"olat"
"3"	"TUN3_0038"	33.8	15.491005	"olat"
"16"	"TUN3_0040"	0.01	1.659182	"olat"
"13"	"TUN3_0041"	9.9	9.164689	"olat"
"19"	"TUN3_0043"	24.2	9.81899	"olat"
"18"	"TUN3_0044"	37.4	14.982911	"olat"
"21"	"TUN3_0045"	40.8	22.554292	"olat"
"10"	"TUN3_0047"	42.01	25.737456	"olat"
"19"	"TUN3_0048"	12.1	6.17177	"olat"
"9"	"TUN3_0049"	58.71	30.441461	"olat"
"1"	"TUN3_0050"	61.7	28.97287	"olat"
"4"	"TUN3_0051"	60.9	30.256521	"olat"
"4"	"TUN3_0054"	6.6	5.925785	"olat"
"5"	"TUN3_0055"	0.09	1.210977	"olat"
"24"	"TUN3_0056"	3.3	3.843407	"olat"
"17"	"TUN3_0057"	44	19.669167	"olat"
"12"	"TUN3_0059"	56.5	24.714212	"olat"
"11"	"TUN3_0060"	30.07	16.515217	"olat"
"10"	"TUN3_0061"	7.7	12.531389	"olat"
"6"	"TUN3_0062"	34.4	21.502754	"olat"
"6"	"TUN3_0063"	2.2	2.588275	"olat"
"11"	"TUN3_0065"	46.8	26.373848	"olat"
"11"	"TUN3_0065"	46.8	26.356886	"olat"
"11"	"TUN3_0066"	30.07	22.627693	"olat"
"6"	"TUN3_0067"	3.31	3.356903	"olat"
"3"	"TUN3_0068"	6.6	4.310629	"olat"
"5"	"TUN3_0070"	73.57	32.846489	"olat"
"12"	"TUN3_0071"	9.9	7.811725	"olat"
"7"	"TUN3_0074"	1.16	4.46337	"olat"
"8"	"TUN3_0076"	38.7	14.532029	"olat"
"6"	"TUN3_0077"	0.09	0.186744	"olat"
"5"	"TUN3_0078"	10.1	7.331311	"olat"
"4"	"TUN3_0079"	53.2	26.189319	"olat"
"15"	"TUN3_0080"	55.17	29.218228	"olat"
"23"	"TUN3_0081"	42	18.947326	"olat"
"5"	"TUN3_0082"	10.1	7.152355	"olat"
"14"	"TUN3_0083"	29.7	20.119487	"olat"
"6"	"TUN3_0084"	5.5	8.665268	"olat"
"17"	"TUN3_0085"	6.6	3.732598	"olat"
"16"	"TUN3_0087"	36.3	22.401247	"olat"
"8"	"TUN3_0088"	43.1	21.943405	"olat"
"2"	"TUN3_0090"	11.9	0.551922	"olat"
"18"	"TUN3_0091"	67.32	31.267527	"olat"
"2"	"TUN3_0092"	10.8	0.155097	"olat"
"19"	"TUN3_0093"	15.4	7.580949	"olat"
"23"	"TUN3_0095"	43.12	21.141918	"olat"
"24"	"TUN3_0096"	7.7	5.367961	"olat"
"16"	"TUN3_0097"	50.71	29.368793	"olat"
"19"	"TUN3_0098"	39.7	13.557186	"olat"
"21"	"TUN3_0099"	23.2	10.144857	"olat"
"5"	"TUN3_0102"	1.1	2.071015	"olat"
"14"	"TUN3_0103"	0.01	1.69251	"olat"
"1"	"TUN3_0105"	56.2	24.646544	"olat"
"23"	"TUN3_0106"	21	8.745083	"olat"
"11"	"TUN3_0107"	31.1	23.925946	"olat"
"9"	"TUN3_0108"	44.1	24.811655	"olat"
"5"	"TUN3_0109"	7.9	5.157801	"olat"
"11"	"TUN3_0111"	1.1	0.735436	"olat"
"11"	"TUN3_0114"	30.07	18.490761	"olat"
"18"	"TUN3_0117"	45.1	18.778626	"olat"
"22"	"TUN3_0118"	32	20.533362	"olat"
"24"	"TUN3_0120"	7.7	5.348739	"olat"
"6"	"TUN3_0121"	46.82	24.428191	"olat"
"20"	"TUN3_0125"	52.9	18.964481	"olat"
"20"	"TUN3_0126"	40.7	16.304093	"olat"
"19"	"TUN3_0127"	24.2	9.038421	"olat"
"8"	"TUN3_0128"	7.7	5.297202	"olat"
"18"	"TUN3_0129"	46.2	18.959079	"olat"
"8"	"TUN3_0130"	49.7	24.214112	"olat"
"19"	"TUN3_0131"	17.6	8.0225	"olat"
"10"	"TUN3_0133"	7.7	12.03424	"olat"
"9"	"TUN3_0134"	59.8	31.329951	"olat"
"22"	"TUN3_0135"	8.8	7.56357	"olat"
"4"	"TUN3_0136"	28.9	13.31253	"olat"
"15"	"TUN3_0139"	55.1	25.889705	"olat"
"15"	"TUN3_0140"	6.6	2.85211	"olat"
"14"	"TUN3_0141"	12.1	10.454668	"olat"
"8"	"TUN3_0143"	2.2	2.62843	"olat"
"9"	"TUN3_0145"	44.1	23.081017	"olat"
"22"	"TUN3_0146"	17.7	11.188618	"olat"
"1"	"TUN3_0148"	81.5	36.041912	"olat"
